Probe Set Name	Description
ENSG00000000003_at	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]
ENSG00000000005_at	tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]
ENSG00000000419_at	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]
ENSG00000000457_at	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]
ENSG00000000460_at	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]
ENSG00000000938_at	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]
ENSG00000000971_at	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]
ENSG00000001036_at	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]
ENSG00000001084_at	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]
ENSG00000001167_at	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]
ENSG00000001460_at	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]
ENSG00000001461_at	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]
ENSG00000001497_at	LAS1 like, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]
ENSG00000001561_at	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]
ENSG00000001617_at	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]
ENSG00000001626_at	cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]
ENSG00000001629_at	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]
ENSG00000002016_at	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]
ENSG00000002079_at	myosin heavy chain 16 pseudogene [Source:HGNC Symbol;Acc:HGNC:31038]
ENSG00000002330_at	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]
ENSG00000002549_at	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]
ENSG00000002586_at	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]
ENSG00000002587_at	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]
ENSG00000002726_at	amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]
ENSG00000002745_at	Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]
ENSG00000002746_at	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]
ENSG00000002822_at	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]
ENSG00000002834_at	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]
ENSG00000002919_at	sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]
ENSG00000002933_at	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]
ENSG00000003056_at	mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]
ENSG00000003096_at	kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]
ENSG00000003137_at	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]
ENSG00000003147_at	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]
ENSG00000003249_at	dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]
ENSG00000003393_at	ALS2, alsin Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:443]
ENSG00000003400_at	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]
ENSG00000003402_at	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]
ENSG00000003436_at	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]
